Parâmetro do ponto de medição,,,,,,,,,,
Horário,SG5K-D_001_001/Potência CC total(kW),SG5K-D_001_001/Potência ativa total(kW),SG5K-D_001_001/MPPT1(A),SG5K-D_001_001/MPPT2(A),SG5K-D_001_001/MPPT1(V),SG5K-D_001_001/MPPT2(V),SG5K-D_001_001/Corrente da fase A(A),SG5K-D_001_001/Tensão da Fase A(V),SG5K-D_001_001/Geração de energia ao longo do dia(kWh),SG5K-D_001_001/Geração de energia total(kWh)
2022-10-01 00:00,--,--,--,--,--,--,--,--,0,"5.114,8"
2022-10-01 00:15,--,--,--,--,--,--,--,--,0,"5.114,8"
2022-10-01 00:30,--,--,--,--,--,--,--,--,0,"5.114,8"
2022-10-01 00:45,--,--,--,--,--,--,--,--,0,"5.114,8"
2022-10-01 01:00,--,--,--,--,--,--,--,--,0,"5.114,8"
2022-10-01 01:15,--,--,--,--,--,--,--,--,0,"5.114,8"
2022-10-01 01:30,--,--,--,--,--,--,--,--,0,"5.114,8"
2022-10-01 01:45,--,--,--,--,--,--,--,--,0,"5.114,8"
2022-10-01 02:00,--,--,--,--,--,--,--,--,0,"5.114,8"
2022-10-01 02:15,--,--,--,--,--,--,--,--,0,"5.114,8"
2022-10-01 02:30,--,--,--,--,--,--,--,--,0,"5.114,8"
2022-10-01 02:45,--,--,--,--,--,--,--,--,0,"5.114,8"
2022-10-01 03:00,--,--,--,--,--,--,--,--,0,"5.114,8"
2022-10-01 03:15,--,--,--,--,--,--,--,--,0,"5.114,8"
2022-10-01 03:30,--,--,--,--,--,--,--,--,0,"5.114,8"
2022-10-01 03:45,--,--,--,--,--,--,--,--,0,"5.114,8"
2022-10-01 04:00,--,--,--,--,--,--,--,--,0,"5.114,8"
2022-10-01 04:15,--,--,--,--,--,--,--,--,0,"5.114,8"
2022-10-01 04:30,--,--,--,--,--,--,--,--,0,"5.114,8"
2022-10-01 04:45,--,--,--,--,--,--,--,--,0,"5.114,8"
2022-10-01 05:00,--,--,--,--,--,--,--,--,0,"5.114,8"
2022-10-01 05:15,--,--,--,--,--,--,--,--,0,"5.114,8"
2022-10-01 05:30,0,0,0,0,"223,7","223,9",0,"224,3",0,"5.114,8"
2022-10-01 05:45,"0,087","0,046","0,1","0,2","210,4","197,4","0,5","222,4",0,"5.114,8"
2022-10-01 06:00,"0,193","0,193","0,4","0,4","214,4","214,4","0,8","222,7",0,"5.114,8"
2022-10-01 06:15,"0,325","0,325","0,7","0,7","222,9","224,9","1,4","220,8",0,"5.114,8"
2022-10-01 06:30,"0,524","0,519",1,"1,1","228,8","244,4","2,3","222,9","0,1","5.114,9"
2022-10-01 06:45,"0,409","0,406","0,8","0,9","225,2","222,4","1,8","222,2","0,2",5.115
2022-10-01 07:00,"0,909","0,875",2,2,"223,9","225,8",4,"223,4","0,4","5.115,2"
2022-10-01 07:15,"1,839","1,66","4,1",4,"225,4","224,4","7,9",224,"0,7","5.115,5"
2022-10-01 07:30,"2,175","2,095","4,9","4,9","220,4","219,5","9,2","227,3","1,2",5.116
2022-10-01 07:45,"0,878","0,855",2,2,"217,9","216,3","3,8","224,6","1,6","5.116,4"
2022-10-01 08:00,"2,82","2,82","6,4","6,3","221,4","219,3","11,8",227,2,"5.116,8"
2022-10-01 08:15,"3,048","2,925","7,2",7,"213,4","212,4","12,9","227,2","2,8","5.117,6"
2022-10-01 08:30,"3,2","3,062","7,6","7,5","211,9","208,3","13,5",228,"3,5","5.118,3"
2022-10-01 08:45,"1,711","1,573","4,2","3,9","212,3","208,4","7,2","226,5","4,2",5.119
2022-10-01 09:00,"2,877","2,877","6,8","6,5","213,9","213,4","11,3","227,8","4,9","5.119,7"
2022-10-01 09:15,"1,565","1,442","3,6","3,5","218,9","216,2","6,6","225,6","5,4","5.120,2"
2022-10-01 09:30,"4,093","3,762",10,"9,7","207,5","205,9",17,"230,8","6,2",5.121
2022-10-01 09:45,"3,66","3,507","8,8","8,7","209,3","206,8","15,3","229,7","7,1","5.121,9"
2022-10-01 10:00,"4,078","3,521","9,8","9,8","208,4","204,9","16,9","230,4","7,9","5.122,7"
2022-10-01 10:15,"4,098","3,898","10,2",10,"203,4","201,9",17,"230,8","8,9","5.123,7"
2022-10-01 10:30,"4,171","4,09","10,5","10,2","201,4","199,9","17,3","230,7","9,8","5.124,6"
2022-10-01 10:45,"3,079","3,079","7,6","7,5","202,8","201,8","12,7","228,4","10,7","5.125,5"
2022-10-01 11:00,"4,427","4,272","11,2","11,1","199,4","195,4","18,2","231,6","11,7","5.126,5"
2022-10-01 11:15,"2,79","2,79","6,8","6,8","203,6","201,1",11,"229,7","12,6","5.127,4"
2022-10-01 11:30,"2,011","1,926","4,7","4,7","214,3","210,3","8,5","227,4","13,1","5.127,9"
2022-10-01 11:45,"1,908","1,831","4,4","4,3","217,9","216,8","8,1","227,2","13,6","5.128,4"
2022-10-01 12:00,"2,166","2,086","4,9",5,"221,1","213,5","9,2","227,6","14,1","5.128,9"
2022-10-01 12:15,"1,797","1,73","4,1","4,1",219,"215,2","7,6","226,7","14,6","5.129,4"
2022-10-01 12:30,"1,7","1,659","3,8","3,8","225,2","219,3","7,2",226,15,"5.129,8"
2022-10-01 12:45,"1,269","1,214","2,8","2,8","223,1","219,3","5,4","225,9","15,3","5.130,1"
2022-10-01 13:00,"1,448","1,404","3,2","3,2","223,6","219,3","6,2","225,5","15,7","5.130,5"
2022-10-01 13:15,"2,44","2,379","5,5","5,5",223,"216,7","10,3",228,"16,2",5.131
2022-10-01 13:30,"3,567","3,312","8,3","8,6","212,2","206,1",15,"230,2",17,"5.131,8"
2022-10-01 13:45,"3,301","3,298","7,6","7,3","220,7","219,3","13,8","229,7","17,5","5.132,3"
2022-10-01 14:00,"1,141","1,113","2,6","2,6","217,4","215,3","4,9",226,"18,1","5.132,9"
2022-10-01 14:15,"1,613","1,571","3,6","3,6","223,1",216,"6,8","226,8","18,4","5.133,2"
2022-10-01 14:30,"3,495","3,355","7,9","7,8","222,1","218,8","14,7",229,"18,8","5.133,6"
2022-10-01 14:45,"1,293","1,219","2,9","2,9","224,5","218,8","5,5","225,8","19,2",5.134
2022-10-01 15:00,"0,902","0,877",2,2,"222,6","219,8","3,9","224,8","19,4","5.134,2"
2022-10-01 15:15,"1,055","1,001","2,3","2,3","222,5","221,2","4,5","225,2","19,7","5.134,5"
