Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,9317325,-,-,-,-19.4,-40.05,-3,23,-3,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.1.2.dev4+g3b38bc8.d20250228
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Temperature,Relative Humidity,Wind Speed,Cloud Type
2024,1,1,0,0,0,0,0,24.3,92.89,0,4
2024,1,1,1,0,0,0,0,24.1,94.67,0,4
2024,1,1,2,0,0,0,0,24.1,95.36,0,5
2024,1,1,3,0,0,0,0,24,96.72,0,8
2024,1,1,4,0,0,0,0,24.1,97.04,0,7
2024,1,1,5,0,0,0,0,24.200000000000003,97.58,0,3
2024,1,1,6,0,5,0,5,24.8,95.91,0,3
2024,1,1,7,0,23,0,23,26,88.76,0,5
2024,1,1,8,0,88,1,88,27.700000000000003,77.32000000000001,0,7
2024,1,1,9,0,307,18,321,28.900000000000002,71.19,0,7
2024,1,1,10,0,395,44,435,29.5,68.31,0,7
2024,1,1,11,0,206,0,206,29.5,67.83,0,3
2024,1,1,12,0,154,0,155,29.200000000000003,68.99,0,3
2024,1,1,13,0,281,4,285,28.8,70.68,0,8
2024,1,1,14,0,365,55,413,28.3,72.96000000000001,0,7
2024,1,1,15,0,70,0,70,27.5,76.69,0,7
2024,1,1,16,0,31,0,31,26.700000000000003,81.12,0,7
2024,1,1,17,0,61,1,61,25.900000000000002,86.24,0,7
2024,1,1,18,0,28,120,37,25.200000000000003,91.4,0,7
2024,1,1,19,0,0,0,0,24.900000000000002,94.01,0,7
2024,1,1,20,0,0,0,0,24.8,95.12,0,8
2024,1,1,21,0,0,0,0,24.700000000000003,96.07000000000001,0,8
2024,1,1,22,0,0,0,0,24.700000000000003,96.21000000000001,0,4
2024,1,1,23,0,0,0,0,24.6,96.74000000000001,0,8
2024,1,2,0,0,0,0,0,24.5,97.11,0,7
2024,1,2,1,0,0,0,0,24.400000000000002,97.59,0,8
2024,1,2,2,0,0,0,0,24.400000000000002,97.08,0,7
2024,1,2,3,0,0,0,0,24.5,95.56,0,7
2024,1,2,4,0,0,0,0,24.5,94.84,0,5
2024,1,2,5,0,0,0,0,24.700000000000003,94.02,0,7
2024,1,2,6,0,3,0,3,25,95.01,0,8
2024,1,2,7,0,135,15,141,25.3,93.75,0,8
2024,1,2,8,0,121,0,121,26.400000000000002,84.73,0,4
2024,1,2,9,0,176,0,176,27.8,75.45,0,4
2024,1,2,10,0,209,0,209,28.700000000000003,71.43,0,5
2024,1,2,11,0,444,11,455,29.200000000000003,69.82000000000001,0,5
2024,1,2,12,0,417,5,421,29.3,69.94,0,4
2024,1,2,13,0,323,1,324,29.200000000000003,70.57000000000001,0,5
2024,1,2,14,0,39,0,39,28.900000000000002,72,0,5
2024,1,2,15,0,20,0,20,28.400000000000002,74.29,0,6
2024,1,2,16,0,157,10,162,27.8,77.54,0,8
2024,1,2,17,0,24,0,24,26.8,84.07000000000001,0,7
2024,1,2,18,0,35,10,35,25.900000000000002,89.5,0,6
2024,1,2,19,0,0,0,0,25.400000000000002,92.10000000000001,0,6
2024,1,2,20,0,0,0,0,25,94.24,0,6
2024,1,2,21,0,0,0,0,24.700000000000003,95.74000000000001,0,6
2024,1,2,22,0,0,0,0,24.5,96.27,0,6
2024,1,2,23,0,0,0,0,24.400000000000002,96.09,0,6
2024,1,3,0,0,0,0,0,24.3,95.81,0,6
2024,1,3,1,0,0,0,0,24.200000000000003,96.02,0,6
2024,1,3,2,0,0,0,0,24.200000000000003,95.98,0,7
2024,1,3,3,0,0,0,0,24.3,95.95,0,7
2024,1,3,4,0,0,0,0,24.400000000000002,96.23,0,7
2024,1,3,5,0,0,0,0,24.6,96.09,0,5
2024,1,3,6,0,5,0,5,24.900000000000002,95.68,0,5
2024,1,3,7,0,138,15,145,25.6,92.54,0,8
2024,1,3,8,0,312,60,349,26.6,86.62,0,5
2024,1,3,9,0,434,219,605,27.900000000000002,78.67,0,3
2024,1,3,10,0,405,7,411,29.1,71.7,0,5
2024,1,3,11,0,382,2,384,30,66.79,0,4
2024,1,3,12,0,514,123,636,30.6,63.870000000000005,0,3
2024,1,3,13,0,412,34,445,30.700000000000003,63.72,0,8
2024,1,3,14,0,400,131,512,30.3,66,0,8
2024,1,3,15,0,273,2,275,29.6,70.58,0,5
2024,1,3,16,0,184,16,192,28.6,77.55,0,7
2024,1,3,17,0,117,15,121,27.6,85.01,0,7
2024,1,3,18,0,30,101,37,26.6,91.85000000000001,0,6
2024,1,3,19,0,0,0,0,26.200000000000003,95.02,0,6
2024,1,3,20,0,0,0,0,25.900000000000002,97.5,0,6
2024,1,3,21,0,0,0,0,25.8,98.72,0,7
2024,1,3,22,0,0,0,0,25.700000000000003,99.72,0,6
2024,1,3,23,0,0,0,0,25.700000000000003,99.86,0,7
2024,1,4,0,0,0,0,0,25.6,100,0,7
2024,1,4,1,0,0,0,0,25.6,100,0,8
2024,1,4,2,0,0,0,0,25.5,100,0,7
2024,1,4,3,0,0,0,0,25.400000000000002,100,0,7
2024,1,4,4,0,0,0,0,25.3,100,0,7
2024,1,4,5,0,0,0,0,25.3,100,0,7
2024,1,4,6,0,48,1,48,25.8,97.29,0,7
2024,1,4,7,0,161,15,167,26.5,92.5,0,7
2024,1,4,8,0,274,137,358,27.5,86.13,0,7
2024,1,4,9,0,239,4,243,28.400000000000002,80.64,0,7
2024,1,4,10,0,520,175,679,29,78.10000000000001,0,3
2024,1,4,11,0,544,191,732,29.400000000000002,77.85000000000001,0,3
2024,1,4,12,0,162,885,1044,29.8,77.19,0,6
2024,1,4,13,0,299,589,860,29.900000000000002,76.97,0,6
2024,1,4,14,0,296,530,748,29.8,77.94,0,6
2024,1,4,15,0,207,653,665,29.1,82.63,0,6
2024,1,4,16,0,13,0,13,28.1,89.41,0,6
2024,1,4,17,0,4,0,4,27.3,94.27,0,7
2024,1,4,18,0,17,0,17,26.700000000000003,97.2,0,6
2024,1,4,19,0,0,0,0,26.3,98.82000000000001,0,7
2024,1,4,20,0,0,0,0,26.200000000000003,99.46000000000001,0,7
2024,1,4,21,0,0,0,0,26.1,100,0,7
2024,1,4,22,0,0,0,0,26.1,99.99000000000001,0,7
2024,1,4,23,0,0,0,0,26,100,0,7
2024,1,5,0,0,0,0,0,25.8,100,0,7
2024,1,5,1,0,0,0,0,25.700000000000003,100,0,7
2024,1,5,2,0,0,0,0,25.6,100,0,7
2024,1,5,3,0,0,0,0,25.5,99.92,0,7
2024,1,5,4,0,0,0,0,25.400000000000002,100,0,7
2024,1,5,5,0,0,0,0,25.400000000000002,99.89,0,7
2024,1,5,6,0,87,202,124,25.8,98.47,0,8
2024,1,5,7,0,131,12,136,26.200000000000003,97.66,0,7
2024,1,5,8,0,191,493,492,26.900000000000002,94.79,0,7
2024,1,5,9,0,320,268,530,27.700000000000003,89.85000000000001,0,7
2024,1,5,10,0,358,373,697,28.6,83.52,0,7
2024,1,5,11,0,293,536,819,29.400000000000002,77.41,0,7
2024,1,5,12,0,421,143,563,29.6,75.56,0,7
2024,1,5,13,0,418,127,539,29,79.56,0,7
2024,1,5,14,0,250,3,253,28.3,83.98,0,6
2024,1,5,15,0,21,0,21,27.400000000000002,89.42,0,9
2024,1,5,16,0,21,0,22,26.700000000000003,94.11,0,9
2024,1,5,17,0,5,0,5,26.200000000000003,97.28,0,9
2024,1,5,18,0,38,15,39,25.8,98.47,0,6
2024,1,5,19,0,0,0,0,25.400000000000002,99.25,0,9
2024,1,5,20,0,0,0,0,25.200000000000003,98.88,0,9
2024,1,5,21,0,0,0,0,24.900000000000002,99.46000000000001,0,6
2024,1,5,22,0,0,0,0,24.8,99.66,0,6
2024,1,5,23,0,0,0,0,24.8,99.66,0,6
2024,1,6,0,0,0,0,0,24.8,99.8,0,6
2024,1,6,1,0,0,0,0,24.700000000000003,100,0,7
2024,1,6,2,0,0,0,0,24.700000000000003,100,0,7
2024,1,6,3,0,0,0,0,24.700000000000003,100,0,8
2024,1,6,4,0,0,0,0,24.700000000000003,99.87,0,7
2024,1,6,5,0,0,0,0,24.6,99.57000000000001,0,8
2024,1,6,6,0,78,17,82,24.900000000000002,97.47,0,7
2024,1,6,7,0,177,236,272,25.6,92.33,0,7
2024,1,6,8,0,264,201,386,26.900000000000002,81.34,0,8
2024,1,6,9,0,407,277,624,28.200000000000003,72.36,0,3
2024,1,6,10,0,294,1,294,29.3,67.36,0,3
2024,1,6,11,0,295,1,295,30,65.22,0,3
2024,1,6,12,0,123,944,1064,30.3,64.73,0,1
2024,1,6,13,0,492,160,644,30.200000000000003,65.59,0,2
2024,1,6,14,0,124,892,885,29.8,67.3,0,1
2024,1,6,15,0,120,828,703,28.900000000000002,71.2,0,0
2024,1,6,16,0,106,727,481,28,75.92,0,0
2024,1,6,17,0,80,549,245,26.900000000000002,82.33,0,1
2024,1,6,18,0,29,157,41,26,87.94,0,1
2024,1,6,19,0,0,0,0,25.6,90.39,0,1
2024,1,6,20,0,0,0,0,25.400000000000002,91.8,0,3
2024,1,6,21,0,0,0,0,25.200000000000003,93.03,0,3
2024,1,6,22,0,0,0,0,25.1,93.57000000000001,0,3
2024,1,6,23,0,0,0,0,24.900000000000002,94.56,0,3
2024,1,7,0,0,0,0,0,24.700000000000003,95.71000000000001,0,8
2024,1,7,1,0,0,0,0,24.6,96.01,0,3
2024,1,7,2,0,0,0,0,24.5,96.39,0,3
2024,1,7,3,0,0,0,0,24.400000000000002,96.76,0,3
2024,1,7,4,0,0,0,0,24.400000000000002,96.4,0,1
2024,1,7,5,0,0,0,0,24.6,96,0,1
2024,1,7,6,0,52,427,129,25.6,90.91,0,1
2024,1,7,7,0,82,692,361,26.900000000000002,81.55,0,1
2024,1,7,8,0,100,816,596,28.1,74.55,0,1
2024,1,7,9,0,111,886,801,29,70.86,0,1
2024,1,7,10,0,447,49,491,29.700000000000003,68.48,0,3
