Date,Plant,Classification,Capacity(kW),Generation(kWh),Income
2024-04-01,IFES Campus Linhares,Commercial rooftop,97.01,448.5,421.59
2024-04-02,IFES Campus Linhares,Commercial rooftop,97.01,266.9,250.89
2024-04-03,IFES Campus Linhares,Commercial rooftop,97.01,275.6,259.06
2024-04-04,IFES Campus Linhares,Commercial rooftop,97.01,161.0,151.34
2024-04-05,IFES Campus Linhares,Commercial rooftop,97.01,314.8,295.91
2024-04-06,IFES Campus Linhares,Commercial rooftop,97.01,447.9,421.03
2024-04-07,IFES Campus Linhares,Commercial rooftop,97.01,413.4,388.6
2024-04-08,IFES Campus Linhares,Commercial rooftop,97.01,387.0,363.78
2024-04-09,IFES Campus Linhares,Commercial rooftop,97.01,381.7,358.8
2024-04-10,IFES Campus Linhares,Commercial rooftop,97.01,383.4,360.4
2024-04-11,IFES Campus Linhares,Commercial rooftop,97.01,406.8,382.39
2024-04-12,IFES Campus Linhares,Commercial rooftop,97.01,318.6,299.48
2024-04-13,IFES Campus Linhares,Commercial rooftop,97.01,376.5,353.91
2024-04-14,IFES Campus Linhares,Commercial rooftop,97.01,421.6,396.3
2024-04-15,IFES Campus Linhares,Commercial rooftop,97.01,387.0,363.78
2024-04-16,IFES Campus Linhares,Commercial rooftop,97.01,265.0,249.1
2024-04-17,IFES Campus Linhares,Commercial rooftop,97.01,398.8,374.87
2024-04-18,IFES Campus Linhares,Commercial rooftop,97.01,331.3,311.42
2024-04-19,IFES Campus Linhares,Commercial rooftop,97.01,215.3,202.38
2024-04-20,IFES Campus Linhares,Commercial rooftop,97.01,327.5,307.85
2024-04-21,IFES Campus Linhares,Commercial rooftop,97.01,345.0,324.3
2024-04-22,IFES Campus Linhares,Commercial rooftop,97.01,229.9,216.11
2024-04-23,IFES Campus Linhares,Commercial rooftop,97.01,327.5,307.85
2024-04-24,IFES Campus Linhares,Commercial rooftop,97.01,367.1,345.07
2024-04-25,IFES Campus Linhares,Commercial rooftop,97.01,384.2,361.15
2024-04-26,IFES Campus Linhares,Commercial rooftop,97.01,182.1,171.17
2024-04-27,IFES Campus Linhares,Commercial rooftop,97.01,376.2,353.63
2024-04-28,IFES Campus Linhares,Commercial rooftop,97.01,411.2,386.53
2024-04-29,IFES Campus Linhares,Commercial rooftop,97.01,395.4,371.68
2024-04-30,IFES Campus Linhares,Commercial rooftop,97.01,352.6,331.44
