Date,Capacity(kW),Generation(kWh),Income
2024-01-01,97.01,202.3,190.16
2024-01-02,97.01,235.4,221.28
2024-01-03,97.01,337.4,317.16
2024-01-04,97.01,269.9,253.71
2024-01-05,97.01,307.1,288.67
2024-01-06,97.01,468.3,440.2
2024-01-07,97.01,126.3,118.72
2024-01-08,97.01,370.0,347.8
2024-01-09,97.01,444.9,418.21
2024-01-10,97.01,514.1,483.25
2024-01-11,97.01,535.7,503.56
2024-01-12,97.01,526.1,494.53
2024-01-13,97.01,498.0,468.12
2024-01-14,97.01,578.2,543.51
2024-01-15,97.01,521.0,489.74
2024-01-16,97.01,513.8,482.97
2024-01-17,97.01,593.8,558.17
2024-01-18,97.01,496.8,466.99
2024-01-19,97.01,530.5,498.67
2024-01-20,97.01,550.8,517.75
2024-01-21,97.01,401.2,377.13
2024-01-22,97.01,105.8,99.45
2024-01-23,97.01,301.2,283.13
2024-01-24,97.01,215.2,202.29
2024-01-25,97.01,269.3,253.14
2024-01-26,97.01,218.5,205.39
2024-01-27,97.01,313.4,294.6
2024-01-28,97.01,143.9,135.27
2024-01-29,97.01,329.6,309.82
2024-01-30,97.01,470.6,442.36
2024-01-31,97.01,376.1,353.53
2024-02-01,97.01,537.6,505.34
2024-02-02,97.01,377.3,354.66
2024-02-03,97.01,440.1,413.69
2024-02-04,97.01,483.5,454.49
2024-02-05,97.01,367.9,345.83
2024-02-06,97.01,315.4,296.48
2024-02-07,97.01,452.5,425.35
2024-02-08,97.01,266.8,250.79
2024-02-09,97.01,489.0,459.66
2024-02-10,97.01,301.8,283.69
2024-02-11,97.01,387.7,364.44
2024-02-12,97.01,486.8,457.59
2024-02-13,97.01,532.3,500.36
2024-02-14,97.01,499.3,469.34
2024-02-15,97.01,336.8,316.59
2024-02-16,97.01,250.3,235.28
2024-02-17,97.01,385.6,362.46
2024-02-18,97.01,247.6,232.74
2024-02-19,97.01,467.9,439.83
2024-02-20,97.01,218.2,205.11
2024-02-21,97.01,224.0,210.56
2024-02-22,97.01,321.8,302.49
2024-02-23,97.01,322.4,303.06
2024-02-24,97.01,512.2,481.47
2024-02-25,97.01,488.6,459.28
2024-02-26,97.01,523.4,492.0
2024-02-27,97.01,464.3,436.44
2024-02-28,97.01,548.6,515.68
2024-02-29,97.01,347.8,326.93
2024-03-01,97.01,456.6,429.2
2024-03-02,97.01,0.0,0.0
2024-03-03,97.01,0.0,0.0
2024-03-04,97.01,208.9,196.37
2024-03-05,97.01,368.7,346.58
2024-03-06,97.01,0.0,0.0
2024-03-07,97.01,364.6,342.72
2024-03-08,97.01,308.2,289.71
2024-03-09,97.01,479.3,450.54
2024-03-10,97.01,447.5,420.65
2024-03-11,97.01,267.0,250.98
2024-03-12,97.01,436.7,410.5
2024-03-13,97.01,343.7,323.08
2024-03-14,97.01,434.5,408.43
2024-03-15,97.01,472.4,444.06
2024-03-16,97.01,468.7,440.58
