,Generation(kWh),GHI_sum,DNI_sum,DHI_sum,Temperature_mean,Temperature_max,Relative Humidity_mean,Wind Speed_mean,Cloud Type_mean,sin_day,cos_day
2024-01-01,202.3,2130,243,2014,26.104166666666668,29.5,86.24208333333333,0.0,6.0,0.01716632975470737,0.9998526477050269
2024-01-02,235.4,2130,52,2103,26.2375,29.3,86.61416666666668,0.0,6.083333333333333,0.034327600513243496,0.9994106342455052
2024-01-03,337.4,4117,725,3606,26.808333333333334,30.700000000000003,86.56166666666667,0.0,6.0,0.05147875477034653,0.9986740898848305
2024-01-04,269.9,5578,3180,2784,27.1125,29.9,91.93291666666666,0.0,6.458333333333333,0.06861473800213404,0.9976432316860063
2024-01-05,307.1,4240,2172,2554,26.504166666666666,29.6,94.03333333333335,0.0,7.25,0.08573050015569435,0.9963183634476755
2024-01-06,468.3,6016,4990,2589,26.641666666666666,30.3,85.57,0.0,3.875,0.1028209971373604,0.9946998756145891
2024-01-07,126.3,5582,4431,3127,26.662499999999998,30.0,84.73791666666666,0.0,3.3333333333333335,0.11988119229922722,0.99278824516254
2024-01-08,370.0,4429,1267,3439,26.962500000000002,30.9,86.93875000000001,0.0,4.708333333333333,0.13690605792347524,0.990584035457797
2024-01-09,444.9,5803,3630,2860,26.541666666666668,28.9,91.28208333333333,0.0,5.958333333333333,0.15389057670406178,0.9880878960910772
2024-01-10,514.1,8512,10121,1241,26.895833333333332,30.8,82.74625,0.0,1.8333333333333333,0.17082974322534417,0.985300562686109
2024-01-11,535.7,8079,9226,1943,26.775000000000002,30.9,79.59958333333333,0.0,0.8333333333333334,0.1877185654371987,0.9822228566828407
2024-01-12,526.1,7848,8770,2019,27.262500000000003,31.8,79.22666666666667,0.0,1.1666666666666667,0.2045520661262008,0.9788556850953578
2024-01-13,498.0,7371,7226,2476,27.520833333333332,31.9,75.94458333333334,0.0,2.75,0.22132528438243257,0.9752000402445825
2024-01-14,578.2,8477,10035,1185,27.8625,32.5,75.08666666666666,0.0,1.125,0.2380332770614856,0.9712569994658314
2024-01-15,521.0,7867,8968,1494,28.037499999999998,32.7,74.51916666666666,0.0,2.0,0.2546711202412287,0.9670277247913204
2024-01-16,513.8,7953,9005,1742,28.141666666666666,32.300000000000004,73.93083333333333,0.0,0.9583333333333334,0.27123391067291003,0.9625134626077081
2024-01-17,593.8,8717,10560,1199,27.470833333333335,32.0,70.22625000000001,0.0,0.08333333333333333,0.287716767226167,0.9577155432887803
2024-01-18,496.8,7151,6944,2794,27.545833333333334,32.2,72.63125000000001,0.0,0.875,0.30411483232751785,0.9526353808033826
2024-01-19,530.5,7857,8151,1800,28.295833333333334,33.2,73.29,0.0,3.1666666666666665,0.3204232733919111,0.9472744722987169
2024-01-20,550.8,7548,7228,2188,28.712500000000002,33.7,76.14833333333333,0.0,2.3333333333333335,0.33663728424691025,0.9416343976591259
2024-01-21,401.2,6221,4094,2874,27.829166666666666,31.3,87.4175,0.0,5.583333333333333,0.3527520865490948,0.9357168190404936
2024-01-22,105.8,6248,3624,3205,27.21666666666667,31.0,86.27958333333333,0.0,5.458333333333333,0.3687629311922601,0.9295234803804003
2024-01-23,301.2,4704,2139,3454,25.974999999999998,28.700000000000003,88.86125,0.0,5.916666666666667,0.3846650997070012,0.9230562068841761
