,Capacity(kW),Generation(kWh),Income,GHI_sum,DNI_sum,DHI_sum,Temperature_mean,Temperature_max,Relative Humidity_mean,Wind Speed_mean,cloud_clear_mean,cloud_medium_mean,cloud_dense_mean,cloud_extreme_mean,sin_day,cos_day
2024-01-01,97.01,202.3,190.16,2130,243,2014,26.104166666666668,29.5,86.24208333333333,0.0,0.0,0.375,0.625,0.0,0.01716632975470737,0.9998526477050269
2024-01-02,97.01,235.4,221.28,2130,52,2103,26.2375,29.3,86.61416666666668,0.0,0.0,0.625,0.375,0.0,0.034327600513243496,0.9994106342455052
2024-01-03,97.01,337.4,317.16,4117,725,3606,26.808333333333334,30.700000000000003,86.56166666666667,0.0,0.0,0.5833333333333334,0.4166666666666667,0.0,0.05147875477034653,0.9986740898848305
2024-01-04,97.01,269.9,253.71,5578,3180,2784,27.1125,29.9,91.93291666666666,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.06861473800213404,0.9976432316860063
2024-01-05,97.01,307.1,288.67,4240,2172,2554,26.504166666666666,29.6,94.03333333333335,0.0,0.0,0.20833333333333334,0.7916666666666666,0.0,0.08573050015569435,0.9963183634476755
2024-01-06,97.01,468.3,440.2,6016,4990,2589,26.641666666666666,30.3,85.57,0.0,0.08333333333333333,0.5833333333333334,0.3333333333333333,0.0,0.1028209971373604,0.9946998756145891
2024-01-07,97.01,126.3,118.72,5582,4431,3127,26.662499999999998,30.0,84.73791666666666,0.0,0.0,0.8333333333333334,0.16666666666666666,0.0,0.11988119229922722,0.99278824516254
2024-01-08,97.01,370.0,347.8,4429,1267,3439,26.962500000000002,30.9,86.93875000000001,0.0,0.0,0.875,0.125,0.0,0.13690605792347524,0.990584035457797
2024-01-09,97.01,444.9,418.21,5803,3630,2860,26.541666666666668,28.9,91.28208333333333,0.0,0.0,0.375,0.625,0.0,0.15389057670406178,0.9880878960910772
2024-01-10,97.01,514.1,483.25,8512,10121,1241,26.895833333333332,30.8,82.74625,0.0,0.4166666666666667,0.4166666666666667,0.16666666666666666,0.0,0.17082974322534417,0.985300562686109
2024-01-11,97.01,535.7,503.56,8079,9226,1943,26.775000000000002,30.9,79.59958333333333,0.0,0.5416666666666666,0.4583333333333333,0.0,0.0,0.1877185654371987,0.9822228566828407
2024-01-12,97.01,526.1,494.53,7848,8770,2019,27.262500000000003,31.8,79.22666666666667,0.0,0.4583333333333333,0.5,0.041666666666666664,0.0,0.2045520661262008,0.9788556850953578
2024-01-13,97.01,498.0,468.12,7371,7226,2476,27.520833333333332,31.9,75.94458333333334,0.0,0.4166666666666667,0.2916666666666667,0.2916666666666667,0.0,0.22132528438243257,0.9752000402445825
2024-01-14,97.01,578.2,543.51,8477,10035,1185,27.8625,32.5,75.08666666666666,0.0,0.4583333333333333,0.4583333333333333,0.08333333333333333,0.0,0.2380332770614856,0.9712569994658314
2024-01-15,97.01,521.0,489.74,7867,8968,1494,28.037499999999998,32.7,74.51916666666666,0.0,0.2916666666666667,0.5416666666666666,0.16666666666666666,0.0,0.2546711202412287,0.9670277247913204
2024-01-16,97.01,513.8,482.97,7953,9005,1742,28.141666666666666,32.300000000000004,73.93083333333333,0.0,0.375,0.625,0.0,0.0,0.27123391067291003,0.9625134626077081
2024-01-17,97.01,593.8,558.17,8717,10560,1199,27.470833333333335,32.0,70.22625000000001,0.0,0.9166666666666666,0.08333333333333333,0.0,0.0,0.287716767226167,0.9577155432887803
2024-01-18,97.01,496.8,466.99,7151,6944,2794,27.545833333333334,32.2,72.63125000000001,0.0,0.4583333333333333,0.5416666666666666,0.0,0.0,0.30411483232751785,0.9526353808033826
2024-01-19,97.01,530.5,498.67,7857,8151,1800,28.295833333333334,33.2,73.29,0.0,0.4583333333333333,0.125,0.4166666666666667,0.0,0.3204232733919111,0.9472744722987169
2024-01-20,97.01,550.8,517.75,7548,7228,2188,28.712500000000002,33.7,76.14833333333333,0.0,0.3333333333333333,0.5416666666666666,0.125,0.0,0.33663728424691025,0.9416343976591259
2024-01-21,97.01,401.2,377.13,6221,4094,2874,27.829166666666666,31.3,87.4175,0.0,0.0,0.625,0.375,0.0,0.3527520865490948,0.9357168190404936
2024-01-22,97.01,105.8,99.45,6248,3624,3205,27.21666666666667,31.0,86.27958333333333,0.0,0.0,0.5,0.5,0.0,0.3687629311922601,0.9295234803804003
2024-01-23,97.01,301.2,283.13,4704,2139,3454,25.974999999999998,28.700000000000003,88.86125,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3846650997070012,0.9230562068841761
2024-01-24,97.01,215.2,202.29,3025,430,2760,25.641666666666666,28.3,92.97625,0.0,0.0,0.5416666666666666,0.4583333333333333,0.0,0.40045390565126643,0.9163169044870048
2024-01-25,97.01,269.3,253.14,4071,1258,3086,25.8,27.8,94.57875,0.0,0.0,0.375,0.625,0.0,0.41612469599147445,0.9093075592922358
2024-01-26,97.01,218.5,205.39,3320,790,2678,26.46666666666667,29.200000000000003,90.76958333333333,0.0,0.0,0.2916666666666667,0.7083333333333334,0.0,0.43167285247378384,0.9020302369860707
2024-01-27,97.01,313.4,294.6,4141,1010,3283,26.033333333333335,28.4,93.21291666666667,0.0,0.0,0.2916666666666667,0.7083333333333334,0.0,0.44709379298511387,0.8944870822287956
2024-01-28,97.01,143.9,135.27,2289,152,2145,26.700000000000003,29.1,93.59333333333332,0.0,0.0,0.5416666666666666,0.4583333333333333,0.0,0.4623829729035149,0.88668031802274
2024-01-29,97.01,329.6,309.82,5947,5065,2107,26.575000000000003,29.4,92.27083333333333,0.0,0.0,0.5416666666666666,0.4583333333333333,0.0,0.47753588643748823,0.8786122450571483
2024-01-30,97.01,470.6,442.36,5712,3223,3361,26.175,28.4,92.77958333333333,0.0,0.0,0.4166666666666667,0.5833333333333334,0.0,0.4925480679538643,0.8702852410301553
2024-01-31,97.01,376.1,353.53,5352,2733,3111,26.183333333333334,28.6,93.93416666666667,0.0,0.0,0.20833333333333334,0.7916666666666666,0.0,0.5074150932938455,0.8617017599480682
2024-02-01,97.01,537.6,505.34,7393,7234,2020,26.30416666666667,29.0,89.60833333333333,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.5221325810768248,0.8528643314021597
2024-02-02,97.01,377.3,354.66,5410,3087,3222,26.679166666666664,30.200000000000003,85.96833333333332,0.0,0.125,0.20833333333333334,0.6666666666666666,0.0,0.5366961939916004,0.8437755598231856
2024-02-03,97.01,440.1,413.69,6282,6334,2516,27.137500000000003,30.700000000000003,84.50708333333334,0.0,0.16666666666666666,0.5416666666666666,0.2916666666666667,0.0,0.5511016400746002,0.8344381237138473
2024-02-04,97.01,483.5,454.49,6639,5393,2888,26.962500000000002,30.700000000000003,83.35541666666667,0.0,0.25,0.3333333333333333,0.4166666666666667,0.0,0.5653446739747429,0.8248547748594244
2024-02-05,97.01,367.9,345.83,4778,3195,3068,27.054166666666664,31.0,83.44875,0.0,0.08333333333333333,0.16666666666666666,0.75,0.0,0.5794210982045637,0.8150283375168114
2024-02-06,97.01,315.4,296.48,4282,1792,2952,26.90416666666667,29.9,85.88166666666666,0.0,0.0,0.25,0.75,0.0,0.593326764377232,0.8049617075821959
2024-02-07,97.01,452.5,425.35,5663,3616,2981,27.3,31.3,83.27416666666666,0.0,0.0,0.16666666666666666,0.8333333333333334,0.0,0.6070575744291002,0.7946578517376252
2024-02-08,97.01,266.8,250.79,3868,706,3317,26.645833333333332,29.4,85.96375,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.6206094818274227,0.7841198065767104
2024-02-09,97.01,489.0,459.66,7700,7941,1696,26.75,30.9,78.24958333333333,0.0,0.5,0.4166666666666667,0.08333333333333333,0.0,0.6339784927628866,0.7733506777097299
2024-02-10,97.01,301.8,283.69,4033,1601,2774,26.150000000000002,29.8,83.13916666666667,0.0,0.16666666666666666,0.7083333333333334,0.125,0.0,0.647160667326606,0.7623536388483904
2024-02-11,97.01,387.7,364.44,6516,5639,2525,26.7375,30.3,85.09041666666667,0.0,0.125,0.8333333333333334,0.041666666666666664,0.0,0.6601521206712317,0.7511319308705199
