,Capacity(kW),Generation(kWh),Income,ghi_sum,dni_sum,dhi_sum,cloud_mean,temp_mean,temp_max,humidity_mean
2024-01-01,97.01,202.3,190.16,11199,0,11199,69.38229166666666,23.635416666666668,24.2,91.878125
2024-01-02,97.01,235.4,221.28,12417,25,12392,71.77604166666667,24.605208333333334,27.1,89.69479166666667
2024-01-03,97.01,337.4,317.16,18675,1963,16941,68.62291666666667,27.085416666666664,32.0,80.54791666666667
2024-01-04,97.01,269.9,253.71,15861,3402,12888,70.45625,27.306250000000002,31.5,84.28333333333333
2024-01-05,97.01,307.1,288.67,16183,5862,12176,64.75104166666667,25.957291666666666,28.2,88.72395833333333
2024-01-06,97.01,468.3,440.2,25640,18073,12952,47.45729166666666,26.56041666666667,30.4,79.00833333333334
2024-01-07,97.01,126.3,118.72,23321,16503,14347,34.626041666666666,27.191666666666666,30.0,78.28333333333333
2024-01-08,97.01,370.0,347.8,20622,4664,16860,48.465624999999996,27.37708333333333,30.7,80.86458333333333
2024-01-09,97.01,444.9,418.21,24272,15624,11896,57.43958333333333,27.469791666666666,32.2,80.31145833333333
2024-01-10,97.01,514.1,483.25,29327,28426,10422,34.81979166666667,27.833333333333332,32.1,74.66562499999999
2024-01-11,97.01,535.7,503.56,31415,34106,8261,9.379166666666666,27.452083333333334,32.2,71.97708333333334
2024-01-12,97.01,526.1,494.53,31093,32461,8876,16.162499999999998,28.028125,33.6,72.16770833333334
2024-01-13,97.01,498.0,468.12,30670,31389,8760,17.269791666666666,28.360416666666666,33.3,70.58645833333334
2024-01-14,97.01,578.2,543.51,31994,35756,6795,18.962500000000002,28.684375,34.0,69.57395833333334
2024-01-15,97.01,521.0,489.74,32150,34847,6870,17.251041666666666,28.801041666666666,34.4,71.01145833333334
2024-01-16,97.01,513.8,482.97,29797,28923,10241,13.008333333333333,28.381249999999998,32.0,72.70520833333333
2024-01-17,97.01,593.8,558.17,33761,39436,5529,5.051041666666666,28.172916666666666,33.4,66.88020833333333
2024-01-18,97.01,496.8,466.99,30410,30889,9621,8.298958333333333,27.86145833333333,33.0,71.13020833333333
2024-01-19,97.01,530.5,498.67,31262,32321,7495,15.346874999999999,28.469791666666666,34.2,70.07604166666667
2024-01-20,97.01,550.8,517.75,30541,29674,8224,26.506249999999998,28.945833333333336,34.7,69.84270833333333
2024-01-21,97.01,401.2,377.13,23548,14064,11714,59.796875,26.620833333333334,32.6,81.67708333333333
2024-01-22,97.01,105.8,99.45,25436,15120,13581,52.885416666666664,26.212500000000002,30.0,84.20833333333333
2024-01-23,97.01,301.2,283.13,17249,6704,13647,49.690625000000004,26.452083333333334,30.4,81.59895833333333
2024-01-24,97.01,215.2,202.29,12770,10,12760,73.434375,25.07604166666667,27.2,89.04895833333335
2024-01-25,97.01,269.3,253.14,15403,824,14583,70.925,25.99791666666667,29.5,85.61145833333335
2024-01-26,97.01,218.5,205.39,13570,1264,12464,71.190625,25.739583333333332,28.2,89.90416666666665
2024-01-27,97.01,313.4,294.6,16841,1088,15981,66.06770833333333,26.16875,29.8,86.04166666666667
2024-01-28,97.01,143.9,135.27,9197,0,9197,81.77708333333334,25.445833333333336,27.7,91.828125
