Timestamp,kW
2022-10-01 06:00:00,0.193
2022-10-01 06:30:00,0.524
2022-10-01 07:00:00,0.909
2022-10-01 07:30:00,2.175
2022-10-01 08:00:00,2.82
2022-10-01 08:30:00,3.2
2022-10-01 09:00:00,2.877
2022-10-01 09:30:00,4.093
2022-10-01 10:00:00,4.078
2022-10-01 10:30:00,4.171
2022-10-01 11:00:00,4.427
2022-10-01 11:30:00,2.011
2022-10-01 12:00:00,2.166
2022-10-01 12:30:00,1.7
2022-10-01 13:00:00,1.448
2022-10-01 13:30:00,3.567
2022-10-01 14:00:00,1.141
2022-10-01 14:30:00,3.495
2022-10-01 15:00:00,0.902
2022-10-01 15:30:00,2.219
2022-10-01 16:00:00,1.256
2022-10-01 16:30:00,0.602
2022-10-01 17:00:00,0.234
2022-10-01 17:30:00,0.085
2022-10-01 18:00:00,0.047
2022-10-01 18:30:00,0.047
2022-10-01 19:00:00,0.0
2022-10-02 06:00:00,0.178
2022-10-02 06:30:00,0.331
2022-10-02 07:00:00,0.868
2022-10-02 07:30:00,1.806
2022-10-02 08:00:00,2.47
2022-10-02 08:30:00,3.17
2022-10-02 09:00:00,3.353
2022-10-02 09:30:00,3.672
2022-10-02 10:00:00,3.954
2022-10-02 10:30:00,4.012
2022-10-02 11:00:00,3.88
2022-10-02 11:30:00,3.744
2022-10-02 12:00:00,1.546
2022-10-02 12:30:00,1.448
2022-10-02 13:00:00,1.361
2022-10-02 13:30:00,1.257
2022-10-02 14:00:00,0.957
2022-10-02 14:30:00,2.782
2022-10-02 15:00:00,2.356
2022-10-02 15:30:00,1.825
2022-10-02 16:00:00,1.255
2022-10-02 16:30:00,0.503
2022-10-02 17:00:00,0.211
2022-10-02 17:30:00,0.069
2022-10-02 18:00:00,0.046
2022-10-02 18:30:00,0.047
2022-10-02 19:00:00,0.0
2022-10-03 06:00:00,0.169
2022-10-03 06:30:00,0.387
2022-10-03 07:00:00,0.313
2022-10-03 07:30:00,0.736
2022-10-03 08:00:00,0.745
2022-10-03 08:30:00,3.991
2022-10-03 09:00:00,2.462
2022-10-03 09:30:00,1.149
2022-10-03 10:00:00,2.437
2022-10-03 10:30:00,1.492
2022-10-03 11:00:00,1.121
2022-10-03 11:30:00,1.848
2022-10-03 12:00:00,1.895
2022-10-03 12:30:00,2.151
2022-10-03 13:00:00,2.198
2022-10-03 13:30:00,0.907
2022-10-03 14:00:00,0.468
2022-10-03 14:30:00,0.505
2022-10-03 15:00:00,0.939
2022-10-03 15:30:00,0.893
2022-10-03 16:00:00,1.091
2022-10-03 16:30:00,0.349
2022-10-03 17:00:00,0.146
2022-10-03 17:30:00,0.063
2022-10-03 18:00:00,0.052
2022-10-03 18:30:00,0.047
2022-10-03 19:00:00,0.0
2022-10-04 06:00:00,0.169
2022-10-04 06:30:00,0.218
2022-10-04 07:00:00,0.345
2022-10-04 07:30:00,0.168
2022-10-04 08:00:00,0.209
2022-10-04 08:30:00,0.355
2022-10-04 09:00:00,0.566
2022-10-04 09:30:00,0.522
2022-10-04 10:00:00,1.061
2022-10-04 10:30:00,4.117
2022-10-04 11:00:00,5.057
2022-10-04 11:30:00,4.16
2022-10-04 12:00:00,4.157
2022-10-04 12:30:00,1.347
2022-10-04 13:00:00,3.948
2022-10-04 13:30:00,3.851
2022-10-04 14:00:00,3.08
2022-10-04 14:30:00,3.111
2022-10-04 15:00:00,2.915
2022-10-04 15:30:00,0.498
2022-10-04 16:00:00,0.531
2022-10-04 16:30:00,0.29
2022-10-04 17:00:00,0.117
2022-10-04 17:30:00,0.069
2022-10-04 18:00:00,0.051
2022-10-04 18:30:00,0.047
2022-10-04 19:00:00,0.0
2022-10-05 06:00:00,0.129
2022-10-05 06:30:00,0.427
2022-10-05 07:00:00,0.388
2022-10-05 07:30:00,0.431
2022-10-05 08:00:00,0.493
2022-10-05 08:30:00,0.97
2022-10-05 09:00:00,0.891
2022-10-05 09:30:00,2.075
2022-10-05 10:00:00,2.183
2022-10-05 10:30:00,1.258
2022-10-05 11:00:00,1.48
2022-10-05 11:30:00,2.059
2022-10-05 12:00:00,1.409
2022-10-05 12:30:00,0.868
2022-10-05 13:00:00,1.582
2022-10-05 13:30:00,1.092
2022-10-05 14:00:00,1.364
2022-10-05 14:30:00,1.627
2022-10-05 15:00:00,1.22
2022-10-05 15:30:00,1.321
2022-10-05 16:00:00,1.119
2022-10-05 16:30:00,0.23
2022-10-05 17:00:00,0.111
2022-10-05 17:30:00,0.083
2022-10-05 18:00:00,0.051
2022-10-05 18:30:00,0.047
2022-10-05 19:00:00,0.0
2022-10-06 06:00:00,0.123
2022-10-06 06:30:00,0.216
2022-10-06 07:00:00,0.385
2022-10-06 07:30:00,0.541
2022-10-06 08:00:00,0.596
2022-10-06 08:30:00,1.0
2022-10-06 09:00:00,1.036
2022-10-06 09:30:00,1.497
2022-10-06 10:00:00,0.648
2022-10-06 10:30:00,0.71
2022-10-06 11:00:00,1.011
2022-10-06 11:30:00,0.675
2022-10-06 12:00:00,0.986
2022-10-06 12:30:00,2.046
2022-10-06 13:00:00,1.608
2022-10-06 13:30:00,0.642
2022-10-06 14:00:00,1.021
2022-10-06 14:30:00,1.21
2022-10-06 15:00:00,2.671
2022-10-06 15:30:00,2.252
2022-10-06 16:00:00,1.266
2022-10-06 16:30:00,0.546
2022-10-06 17:00:00,0.213
2022-10-06 17:30:00,0.082
2022-10-06 18:00:00,0.046
2022-10-06 18:30:00,0.047
2022-10-06 19:00:00,0.0
2022-10-07 06:00:00,0.286
2022-10-07 06:30:00,0.595
2022-10-07 07:00:00,0.915
2022-10-07 07:30:00,1.102
2022-10-07 08:00:00,1.234
2022-10-07 08:30:00,1.184
2022-10-07 09:00:00,2.467
2022-10-07 09:30:00,1.027
2022-10-07 10:00:00,1.233
2022-10-07 10:30:00,4.215
2022-10-07 11:00:00,1.968
2022-10-07 11:30:00,1.428
2022-10-07 12:00:00,3.966
2022-10-07 12:30:00,2.863
2022-10-07 13:00:00,1.35
2022-10-07 13:30:00,1.189
2022-10-07 14:00:00,1.542
2022-10-07 14:30:00,0.949
2022-10-07 15:00:00,0.485
2022-10-07 15:30:00,0.396
2022-10-07 16:00:00,0.568
2022-10-07 16:30:00,0.467
2022-10-07 17:00:00,0.236
2022-10-07 17:30:00,0.065
2022-10-07 18:00:00,0.046
2022-10-07 18:30:00,0.047
2022-10-07 19:00:00,0.0
2022-10-08 06:00:00,0.089
2022-10-08 06:30:00,0.357
2022-10-08 07:00:00,0.788
2022-10-08 07:30:00,1.305
