Timestamp,Dni,Dhi,Ghi,AirTemp,DewpointTemp,WindSpeed10m,WindDirection10m,RelativeHumidity,POA,Ppv
2022-10-01 06:00:00,0,0,0,19.5,16.1,2.6,157,80.7,0.0,0.0
2022-10-01 06:30:00,0,0,0,19.4,16.0,2.4,156,80.7,0.0,0.0
2022-10-01 07:00:00,0,0,0,19.4,16.0,2.3,154,80.9,0.0,0.0
2022-10-01 07:30:00,0,0,0,19.2,16.0,2.1,154,81.7,0.0,0.0
2022-10-01 08:00:00,0,0,0,19.1,16.0,2.0,153,82.3,0.0,0.0
2022-10-01 08:30:00,0,12,12,19.2,16.2,1.8,152,82.6,7.74,0.04
2022-10-01 09:00:00,0,53,53,19.6,16.2,1.6,148,80.9,39.47,0.2
2022-10-01 09:30:00,437,84,211,20.8,16.0,1.4,136,74.0,174.76,0.86
2022-10-01 10:00:00,166,184,254,21.8,15.7,1.4,121,68.3,227.12,1.11
2022-10-01 10:30:00,88,265,310,22.4,15.5,1.7,105,65.0,292.05,1.43
2022-10-01 11:00:00,364,238,464,22.9,15.3,1.9,94,62.3,451.39,2.18
2022-10-01 11:30:00,651,168,626,23.4,15.4,1.8,84,60.8,618.9,2.96
2022-10-01 12:00:00,556,237,672,23.8,15.4,1.7,75,59.5,667.86,3.19
2022-10-01 12:30:00,821,125,821,24.0,15.4,1.8,68,58.8,814.0,3.85
2022-10-01 13:00:00,835,128,878,24.2,15.4,1.8,64,57.9,860.16,4.05
2022-10-01 13:30:00,642,246,845,24.7,15.5,1.8,68,56.6,806.71,3.81
2022-10-01 14:00:00,517,322,815,25.1,15.5,1.8,73,55.3,744.89,3.54
2022-10-01 14:30:00,268,449,706,25.4,15.6,1.9,83,54.4,604.65,2.89
2022-10-01 15:00:00,36,453,487,25.7,15.6,2.0,92,53.8,380.8,1.85
2022-10-01 15:30:00,0,399,399,25.6,15.7,2.2,98,54.3,275.75,1.35
2022-10-01 16:00:00,36,489,520,25.6,15.8,2.4,102,54.7,304.31,1.48
2022-10-01 16:30:00,171,412,552,25.7,15.9,2.6,102,54.7,257.34,1.26
2022-10-01 17:00:00,177,355,488,25.7,15.9,2.8,102,54.9,164.18,0.81
2022-10-01 17:30:00,230,296,449,25.5,16.0,3.1,100,55.7,89.28,0.44
2022-10-01 18:00:00,299,237,404,25.2,16.0,3.4,98,56.7,22.85,0.11
2022-10-01 18:30:00,497,135,364,24.9,16.1,3.9,96,58.1,0.0,0.0
2022-10-01 19:00:00,477,96,262,24.5,16.1,4.4,95,59.6,0.0,0.0
2022-10-02 06:00:00,0,0,0,20.0,17.7,1.2,338,86.4,0.0,0.0
2022-10-02 06:30:00,0,0,0,19.8,17.7,1.1,324,87.4,0.0,0.0
2022-10-02 07:00:00,0,0,0,19.7,17.7,1.1,308,88.2,0.0,0.0
2022-10-02 07:30:00,0,0,0,19.7,17.7,1.1,295,88.2,0.0,0.0
2022-10-02 08:00:00,0,0,0,19.7,17.7,1.2,283,88.1,0.0,0.0
2022-10-02 08:30:00,27,14,16,19.8,17.6,1.5,274,87.6,10.35,0.05
2022-10-02 09:00:00,287,54,105,20.5,17.7,1.6,271,83.7,78.39,0.39
2022-10-02 09:30:00,452,81,214,23.3,17.8,1.4,275,71.5,177.6,0.87
2022-10-02 10:00:00,566,99,331,25.5,18.0,1.2,288,63.3,296.47,1.44
2022-10-02 10:30:00,647,112,447,25.9,18.1,1.2,321,62.2,421.72,2.03
2022-10-02 11:00:00,407,228,479,26.3,18.1,1.5,343,61.0,466.51,2.24
2022-10-02 11:30:00,624,181,622,26.5,17.9,1.7,354,59.1,615.47,2.93
2022-10-02 12:00:00,725,158,727,26.8,17.7,1.9,0,57.4,723.03,3.42
2022-10-02 12:30:00,806,134,818,27.2,17.6,2.1,2,55.7,811.67,3.82
2022-10-02 13:00:00,821,137,876,27.6,17.5,2.2,4,54.1,859.09,4.03
2022-10-02 13:30:00,832,139,917,28.2,17.6,2.0,10,52.7,876.57,4.11
2022-10-02 14:00:00,690,228,886,28.8,17.6,2.0,18,51.1,811.02,3.82
2022-10-02 14:30:00,737,201,908,29.4,17.5,2.1,28,48.6,779.05,3.67
2022-10-02 15:00:00,713,211,886,29.9,17.3,2.4,36,46.7,694.28,3.29
2022-10-02 15:30:00,670,228,843,30.1,17.3,2.9,42,46.3,584.1,2.79
2022-10-02 16:00:00,662,218,798,30.2,17.4,3.3,46,46.2,468.52,2.25
2022-10-02 16:30:00,405,322,652,30.1,17.5,3.6,48,46.9,305.26,1.48
2022-10-02 17:00:00,641,186,661,30.0,17.8,3.9,50,47.9,223.77,1.09
2022-10-02 17:30:00,732,124,607,29.5,18.0,4.1,54,50.0,122.01,0.6
2022-10-02 18:00:00,663,123,498,29.0,18.3,4.4,57,52.3,29.28,0.14
2022-10-02 18:30:00,581,115,382,28.4,18.7,4.5,58,55.6,0.0,0.0
2022-10-02 19:00:00,490,95,266,27.9,19.1,4.5,60,58.6,0.0,0.0
2022-10-03 06:00:00,0,0,0,22.8,21.1,1.7,33,90.3,0.0,0.0
2022-10-03 06:30:00,0,0,0,22.7,21.2,1.8,32,90.8,0.0,0.0
2022-10-03 07:00:00,0,0,0,22.7,21.2,1.9,31,91.4,0.0,0.0
2022-10-03 07:30:00,0,0,0,22.6,21.2,1.9,27,92.0,0.0,0.0
2022-10-03 08:00:00,0,0,0,22.5,21.2,2.0,24,92.2,0.0,0.0
2022-10-03 08:30:00,0,4,4,22.8,21.3,2.1,22,91.3,2.59,0.01
2022-10-03 09:00:00,0,8,8,23.1,21.3,2.4,20,89.6,5.99,0.03
2022-10-03 09:30:00,0,18,18,23.9,21.2,2.9,19,85.1,14.97,0.07
2022-10-03 10:00:00,0,48,48,24.6,21.2,3.3,18,81.4,43.06,0.21
2022-10-03 10:30:00,0,97,97,24.9,21.1,3.4,16,79.8,91.64,0.45
2022-10-03 11:00:00,0,174,174,25.2,21.1,3.4,15,77.9,169.65,0.82
2022-10-03 11:30:00,303,304,520,25.5,20.9,3.4,15,75.6,514.96,2.45
2022-10-03 12:00:00,58,433,478,26.0,20.8,3.4,16,73.3,475.7,2.27
2022-10-03 12:30:00,12,460,470,26.6,20.9,3.3,19,70.7,466.72,2.23
2022-10-03 13:00:00,62,492,548,27.1,20.8,3.3,22,68.5,537.95,2.56
2022-10-03 13:30:00,0,384,384,27.2,20.6,3.4,24,67.1,367.52,1.77
2022-10-03 14:00:00,0,492,492,27.4,20.4,3.6,24,65.5,451.04,2.16
2022-10-03 14:30:00,14,471,484,28.0,20.4,3.7,22,63.2,416.0,1.99
2022-10-03 15:00:00,88,521,605,28.5,20.4,3.7,20,61.3,475.08,2.27
2022-10-03 15:30:00,0,482,482,28.7,20.3,3.8,21,60.4,334.82,1.61
2022-10-03 16:00:00,0,367,367,28.9,20.2,3.9,21,59.2,216.16,1.05
2022-10-03 16:30:00,0,189,189,29.4,20.0,3.9,21,57.2,88.86,0.43
2022-10-03 17:00:00,0,78,78,29.7,19.9,4.0,21,55.9,26.57,0.13
2022-10-03 17:30:00,0,131,131,29.4,19.9,3.9,23,56.5,26.62,0.13
2022-10-03 18:00:00,0,215,215,29.2,19.9,3.9,25,57.4,13.12,0.06
2022-10-03 18:30:00,431,149,348,28.9,20.1,3.7,31,59.1,0.0,0.0
2022-10-03 19:00:00,320,93,207,28.4,20.3,3.6,37,61.4,0.0,0.0
2022-10-04 06:00:00,0,0,0,22.7,20.9,2.2,21,89.6,0.0,0.0
2022-10-04 06:30:00,0,0,0,22.5,20.7,2.2,18,89.6,0.0,0.0
2022-10-04 07:00:00,0,0,0,22.4,20.6,2.2,16,89.6,0.0,0.0
2022-10-04 07:30:00,0,0,0,22.3,20.5,2.2,14,89.6,0.0,0.0
2022-10-04 08:00:00,0,0,0,22.2,20.4,2.3,13,89.4,0.0,0.0
2022-10-04 08:30:00,0,2,2,22.1,20.2,2.3,14,88.9,1.3,0.01
2022-10-04 09:00:00,0,11,11,22.3,20.1,2.4,12,87.1,8.25,0.04
2022-10-04 09:30:00,0,44,44,23.6,20.4,2.6,4,82.0,36.66,0.18
2022-10-04 10:00:00,0,88,88,24.7,20.6,2.8,356,77.8,79.07,0.39
2022-10-04 10:30:00,0,36,36,25.0,20.4,3.0,351,75.2,34.06,0.17
2022-10-04 11:00:00,0,56,56,25.4,20.1,3.2,347,72.3,54.66,0.27
2022-10-04 11:30:00,0,134,134,25.9,19.6,3.3,346,68.0,132.8,0.65
2022-10-04 12:00:00,0,215,215,26.4,19.2,3.5,346,64.4,214.09,1.04
2022-10-04 12:30:00,0,218,218,26.9,19.0,3.7,350,62.2,216.63,1.05
2022-10-04 13:00:00,618,242,802,27.4,18.9,3.8,354,59.9,788.05,3.7
2022-10-04 13:30:00,624,256,842,28.0,18.8,3.7,1,57.5,806.84,3.79
2022-10-04 14:00:00,823,146,935,28.7,18.8,3.7,7,54.9,858.39,4.01
2022-10-04 14:30:00,671,237,883,29.6,18.6,3.8,10,51.6,760.24,3.58
2022-10-04 15:00:00,588,280,839,30.2,18.4,3.8,13,49.2,660.18,3.13
2022-10-04 15:30:00,642,241,832,30.3,18.3,3.7,15,48.9,579.39,2.76
2022-10-04 16:00:00,592,253,773,30.3,18.3,3.7,19,48.5,456.71,2.19
2022-10-04 16:30:00,551,253,704,30.5,18.1,3.7,24,47.6,332.37,1.61
2022-10-04 17:00:00,726,147,689,30.6,18.0,3.8,30,47.1,236.09,1.15
2022-10-04 17:30:00,605,172,574,30.5,18.1,4.2,36,47.7,117.85,0.58
2022-10-04 18:00:00,200,265,380,30.2,18.2,4.6,40,48.9,24.04,0.12
2022-10-04 18:30:00,0,170,170,29.3,18.4,4.7,42,52.1,0.0,0.0
2022-10-04 19:00:00,0,119,119,28.4,18.6,4.8,44,55.2,0.0,0.0
2022-10-05 06:00:00,0,0,0,21.3,19.3,1.7,52,88.4,0.0,0.0
